Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm,79.0,-58.0,-90.0,top
D2,LED,LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm,112.5,-38.5,180.0,top
D3,LED,LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm,160.0,-45.0,90.0,top
D4,LED,LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm,79.0,-45.0,-90.0,top
D5,PhotoDiode,LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm,79.0,-51.5,-90.0,top
D6,LED,LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm,126.5,-38.5,180.0,top
D7,LED,LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm,160.0,-58.0,90.0,top
D8,PhotoDiode,LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm,119.5,-38.5,180.0,top
D9,PhotoDiode,LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm,160.0,-51.5,90.0,top
J1,Conn_02x14_Odd_Even,PinSocket_2x14_P2.54mm_Vertical,119.3,-58.21,-90.0,top
JP1,SJ_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,116.85,-53.0,0.0,top
JP2,SJ_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,109.15,-53.0,0.0,top
JP3,SJ_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,101.5,-53.0,0.0,top
JP4,SJ_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,122.35,-53.0,0.0,top
JP5,SJ_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,129.5,-53.0,0.0,top
JP6,SJ_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,137.0,-53.0,0.0,top
JP7,SJ_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,92.85,-47.0,0.0,top
JP8,SJ_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,92.85,-51.5,0.0,top
JP9,SJ_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,92.85,-56.0,0.0,top
JP10,SJ_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,113.85,-48.0,0.0,top
JP11,SJ_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,121.15,-48.0,0.0,top
JP12,SJ_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,128.15,-48.0,0.0,top
JP13,SJ_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,145.85,-46.5,0.0,top
JP14,SJ_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,145.85,-51.5,0.0,top
JP15,SJ_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,145.85,-56.5,0.0,top
Q1,NPN,SOT-23,102.5625,-48.0,0.0,top
Q2,NPN,SOT-23,135.5625,-48.5,0.0,top
R1,22,R_0603_1608Metric,106.5,-48.0,0.0,top
R2,22,R_0603_1608Metric,150.5,-44.0,0.0,top
R3,150,R_0603_1608Metric,113.0,-53.0,0.0,top
R4,22,R_0603_1608Metric,88.0,-58.5,0.0,top
R5,150,R_0603_1608Metric,126.0,-53.0,0.0,top
R6,100,R_0603_1608Metric,105.325,-53.0,0.0,top
R7,47k,R_0603_1608Metric,88.0,-48.0,0.0,top
R8,10k,R_0603_1608Metric,88.0,-51.5,0.0,top
R9,75,R_0603_1608Metric,98.0,-53.0,0.0,top
R10,100,R_0603_1608Metric,133.175,-53.0,0.0,top
R11,75,R_0603_1608Metric,140.5,-53.0,0.0,top
R12,22,R_0603_1608Metric,88.0,-44.5,0.0,top
R13,22,R_0603_1608Metric,131.825,-48.0,0.0,top
R14,22,R_0603_1608Metric,150.5,-58.5,0.0,top
R15,47k,R_0603_1608Metric,110.0,-48.0,0.0,top
R16,10k,R_0603_1608Metric,117.5,-48.0,0.0,top
R17,4.7k,R_0603_1608Metric,124.675,-48.0,0.0,top
R18,47k,R_0603_1608Metric,150.5,-48.0,0.0,top
R19,4.7k,R_0603_1608Metric,88.0,-55.0,0.0,top
R20,10k,R_0603_1608Metric,150.5,-51.5,0.0,top
R21,4.7k,R_0603_1608Metric,150.5,-55.0,0.0,top
TP1,TestPoint,TestPoint_Pad_1.5x1.5mm,96.5,-43.5,0.0,top
TP2,TestPoint,TestPoint_Pad_1.5x1.5mm,99.0,-48.0,0.0,top
TP3,TestPoint,TestPoint_Pad_1.5x1.5mm,139.5,-48.5,0.0,top
TP4,TestPoint,TestPoint_Pad_1.5x1.5mm,106.0,-43.5,0.0,top
TP5,TestPoint,TestPoint_Pad_1.5x1.5mm,140.5,-43.5,0.0,top
